CONT	URL	Visualizações	Likes	Deslikes	Comentários	Data	Canal	Titulo	Categoria
1	https://www.youtube.com/watch?v=olDCJ1w3FLM	13331	1568	7	96	2021-03-06T20:00:07Z	UC70mr11REaCqgKke7DPJoLg	Consumindo dados da API do YOUTUBE com Python | Python na Prática #11	27
2	https://www.youtube.com/watch?v=kqvWOcPog4s	23310	2731	8	252	2021-02-02T20:00:08Z	UC70mr11REaCqgKke7DPJoLg	RASPAGEM de DADOS com PYTHON usando BeautifulSoup | Python na Prática #9	27
3	https://www.youtube.com/watch?v=50OSL7NBMLY	269446	55196	183	583	2021-09-28T21:00:07Z	UCtrjFP7i92_30uv6IehwE5Q	A FOFOCA EDIFICA? - Ep.1566	24
4	https://www.youtube.com/watch?v=cRnKzWG3ZEM	450698	61473	1093	1284	2021-09-25T15:58:32Z	UChmOR1T5ZNnbRUba3lHRTOg	PRODUTOS QUE TE FAZEM QUESTIONAR A VIDA!	24
5	https://www.youtube.com/watch?v=3A7wTRThLuE	561074	69871	773	1336	2021-09-24T20:00:25Z	UCKHhA5hN2UohhFDfNXB_cvQ	ÁGUA com GÁS CASEIRA? Nós testamos!	28
6	https://www.youtube.com/watch?v=9WwYO1Jtr7Y	116013	20610	76	1079	2021-09-28T16:53:07Z	UCn9Erjy00mpnWeLnRqhsA1g	O Problema de 1 MILHÃO de DÓLARES	28
7	https://www.youtube.com/watch?v=XKIeOsXMtJk	48887	5197	57	576	2021-09-12T22:00:10Z	UCEf5U1dB5a2e2S-XUlnhxSA	19 coisas curiosas que percebi usando macOS por 15 dias	28
8	https://www.youtube.com/watch?v=ALR_dJLGGIs	54236	5781	176	279	2021-09-07T22:00:10Z	UCEf5U1dB5a2e2S-XUlnhxSA	Eu fiz um iMac de pobre! 👀	28
9	https://www.youtube.com/watch?v=leh5wFrDOwg	43994	3686	57	384	2021-09-05T22:00:30Z	UCEf5U1dB5a2e2S-XUlnhxSA	STAR PLUS - Eu assinei para que você NÃO PRECISE	28
10	https://www.youtube.com/watch?v=7z-cici3MsA	395167	44920	665	1052	2021-09-27T20:00:11Z	UCKHhA5hN2UohhFDfNXB_cvQ	Temos a TOMADA mais SEGURA e podemos provar!	28
11	https://www.youtube.com/watch?v=qtoLuf0TRYo	1199976	125092	1027	3230	2021-03-06T14:30:07Z	UCKHhA5hN2UohhFDfNXB_cvQ	FORJAMOS um MACHADO!!! #Boravê CUTELARIA	28
12	https://www.youtube.com/watch?v=Xz7LmeywzH8	7658180	483648	4840	7194	2018-03-06T15:00:05Z	UCKHhA5hN2UohhFDfNXB_cvQ	Fizemos uma LUPA GIGANTE que passa de 600ºC	28
13	https://www.youtube.com/watch?v=gx_L9RjGy9s	30421033	504163	9256	6577	2020-07-17T14:00:10Z	UCJYtYkiGldqX6Ne938j-k2g	UNFORGETTABLE BLIND AUDITIONS in The Voice Kids	24
14	https://www.youtube.com/watch?v=mV4cWyl7zYU	3421310	580975	4214	43460	2021-09-29T00:00:10Z	UCoHV8LxUFKeIvifJsB3c7Ww	GROUPIES - Doode & Teto & Matuê 🧛	10
15	https://www.youtube.com/watch?v=t-bcW3hvia4	1873725	282625	3929	540	2021-09-28T22:48:26Z	UCVkthf535Q-JpbdKhPtFNZA	lkzinhu merenda na escola	24
16	https://www.youtube.com/watch?v=y5v5WaNjalU	27099772	198564	2593	3075	2016-02-28T21:00:30Z	UCxeRNeQ2EU9gPRjUXSY1s3w	Vernon Barnard sings 'Story of My Life'  | The Blind Auditions | The Voice South Africa 2016	24
17	https://www.youtube.com/watch?v=l8jgM1V-1yI	82903616	1132446	29490	16620	2016-04-29T20:25:40Z	UCQRELbX0H5FCokIFxOAsHFA	Coolio – Gangsta's Paradise | MB14 (Beatbox Loopstation) | The Voice France 2016 | Blind Audition	24
18	https://www.youtube.com/watch?v=CFvx_gwRuCA	3663723	57969	1118	898	2020-04-07T14:00:09Z	UCJYtYkiGldqX6Ne938j-k2g	Incredible LOOPING ARTISTS in The Blind Auditions of The Voice	24
19	https://www.youtube.com/watch?v=0cZVA5_RzMY	5535	577	16	105	2021-09-26T15:45:11Z	UCwWFS9uXaCbVKDlXt1-2itw	Ep2. Os novos recursos da BARRA DE TAREFAS | #Windows11	28
